,calcio | g,ferro | g,fosforo | g,magnesio | g,potassio | g,rame | g,selenio | g,zinco | g,grassi saturi totali | g,c4:0\÷c10:0 (laurico) | g,c12:0 (laurico) | g,c14:0 (miristico) | g,c16:0 (palmitico) | g,c18:0 (stearico) | g,c20:0 (arachidico) | g,c22:0 (beenico) | g,grassi monoinsaturi totali | g,c14:1 (miristoleico) | g,c16:1 (palmitoleico) | g,c18:1 (oleico) | g,c20:1 (eicosaenoico) | g,c22:1 (erucico) | g,grassi polinsaturi totali | g,c18:2 w6 (linoleico) | g,c18:3 w3 (linolenico) | g,c20:4 w6 (arachidonico) | g,c20:5 w3 (eicosapentaenoico - epa) | g,c22:6 w3 (docosaesaenoico - dha) | g,rapporto polinsaturi/saturi | %,tiamina (b1) | g,riboflavina (b2) | g,niacina (b3) | g,vitamina a (retinolo eq.) | g,vitamina c | g,vitamina e | g,parte edibile | %,acqua | g,proteine | g,carboidrati | g,zuccheri solubili | g,amido | g,grassi | g,saturi | g,monoinsaturi | g,polinsaturi | g,fibra totale | g,fibra solubile | g,fibra insolubile | g,colesterolo | g,sodio | g,alcool | g,acido fitico | g,lisina | g,istidina | g,arginina | g,acido aspartico | g,treonina | g,serina | g,acido glutamico | g,prolina | g,glicina | g,alanina | g,cistina | g,valina | g,metionina | g,isoleucina | g,leucina | g,tirosina | g,fenilalanina | g,triptofano | g,indice chimico |,aminoacido limitante |,calorie | kcal
fegato di ovino (ovis agnus),0.008,0.0126,0.364,0.019,0.3,0.0087,0.042,0.0039,1.94,0.0,,0.05,0.68,1.12,,,1.05,,0.13,0.92,,,0.75,0.32,0.07,0.36,,,0.3,0.0004,0.00328,0.0131,0.009999989999999999,0.033,,100.0,73.0,19.5,2.0,2.0,0.0,5.5,1.94,1.05,0.75,0.0,0.0,0.0,0.371,0.067,0.0,0.0,999.99,479.0,999.99,999.99,882.0,878.0,999.99,974.0,985.0,999.99,214.0,999.99,442.0,878.0,999.99,727.0,910.0,236.0,93,lisina,135.00
"maiale, leggero, bistecca, cotta [saltata in padella senza aggiunta di grassi e di sale] (sus scrofa domestica)",0.009,0.0012,0.26,0.022,0.42,0.00016,0.014,0.0035,,,,,,,,,,,,,,,,,,,,,,0.0006,0.0005,0.0047,,0.0,,75.0,53.6,30.1,0.0,0.0,0.0,14.1,,,,0.0,0.0,0.0,0.089,0.084,0.0,0.0,749.9925000000001,749.9925000000001,749.9925000000001,749.9925000000001,749.9925000000001,749.9925000000001,749.9925000000001,749.9925000000001,749.9925000000001,749.9925000000001,302.25,749.9925000000001,605.25,749.9925000000001,749.9925000000001,749.9925000000001,749.9925000000001,237.0,95,Trip.,247.00
popcorn al naturale,,,,,,,,,0.4,0.0,0.0,9.0,0.34,0.02,,,0.3,,3.0,0.28,0.0,0.0,0.5,0.39,0.08,0.0,0.0,0.0,1.2,,,,0.0,0.0,,100.0,5.6,6.0,85.0,9.0,69.2,1.0,0.4,0.3,0.5,1.0,,,0.0,0.001,0.0,0.00023,,,,,,,,,,,,,,,,,,,,,352.00
fecola di patate (solanum tuberosum),0.01,0.0003,0.027,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,100.0,16.1,1.4,90.7,9.1,74.2,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,346.00
"tacchino, fuso, senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura] (meleagris gallopavo)",0.015,0.0017,,0.028,0.394,0.00020999999999999998,,0.00512,2.84,0.0,0.0,0.12,1.56,1.12,0.0,0.0,2.41,0.04,0.3,2.01,0.03,0.0,2.48,1.62,0.11,0.44,0.03,0.13,0.9,,,,,0.0,,72.0,61.6,28.0,0.0,0.0,0.0,8.7,2.84,2.41,2.48,0.0,0.0,0.0,0.107,0.131,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,190.00
perle di tapioca secche,0.02,0.00011999999999999999,0.011,0.0008,0.001,0.00158,0.004,0.007,5.0,0.0,0.0,0.0,5.0,0.0,,,5.0,,0.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,2e-05,100.0,10.99,0.19,87.79,,,0.02,5.0,5.0,3.0,0.9,,,0.0,0.001,,,6.0,3.0,19.0,11.0,4.0,5.0,29.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,6.0,2.0,4.0,3.0,0.0,,358.00
"cipolle, cotte [bollite in acqua distillata senza aggiunta di sale] (allium cepa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,100.0,67.2,4.1,23.6,23.6,0.0,0.4,,,,1.3,0.49,0.76,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,109.00
"maiale, leggero, lombo (sus scrofa domestica)",0.007,0.0013,0.15,,0.22,0.00015,0.014,0.0018,2.23,0.0,0.01,0.07,1.41,0.73,0.0,0.0,2.38,0.0,0.1,2.1,0.18,0.0,1.82,1.68,0.0,0.03,0.0,0.0,0.8,0.00025,0.0003,0.004,,0.0,,79.0,70.7,20.7,0.0,0.0,0.0,7.0,2.23,2.38,1.82,0.0,0.0,0.0,0.061,0.073,0.0,0.0,789.9921,511.13,789.9921,789.9921,726.01,673.08,789.9921,673.87,789.9921,789.9921,188.81,789.9921,427.39000000000004,789.9921,789.9921,519.03,639.11,144.57,80,Trip.,146.00
"pasta di semola, integrale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,100.0,,,,,,,,,,6.4,1.38,5.02,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
gallina (gallus gallus),0.015,0.0016,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,0.0001,0.004,,0.0,,70.0,66.0,20.9,0.0,0.0,0.0,12.3,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,194.00
"maiale, pesante, coscio (sus scrofa domestica)",0.008,0.0017,0.176,,0.37,,,,1.72,0.0,0.02,0.05,1.03,0.58,0.0,0.0,1.99,0.0,0.09,1.87,0.02,0.0,0.87,0.6,0.03,0.17,0.03,0.0,0.5,0.00031,0.00031,0.0038,4.9999999999999996e-06,0.0,,90.0,72.9,20.4,0.0,0.0,0.0,5.1,1.72,1.99,0.87,0.0,0.0,0.0,0.089,0.076,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,128.00
"riso brillato, cotto [bollito in acqua distillata senza aggiunta di sale] (oryza sativa)",0.01,0.0002,0.028,0.009,0.028,5.9999999999999995e-05,0.004,0.0005,,,,,,,,,,,,,,,,,,,,,,3e-05,1e-05,0.0004,0.0,0.0,,100.0,72.6,2.0,24.2,0.1,21.9,0.1,,,,0.2,0.09,0.11,0.0,0.001,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,100.00
"mandorle dolci secche, con guscio (prunus amygdalus communis)",0.24,0.003,0.55,0.264,0.78,0.00092,0.0015,0.0025,4.59,0.0,0.0,0.05,3.48,0.94,0.11,0.0,39.44,0.0,0.38,39.06,0.0,0.0,10.85,10.54,0.3,0.0,0.0,0.0,2.4,0.00023,0.0004,0.003,1e-06,0.0,0.026000000000000002,24.0,5.1,22.0,4.6,3.7,0.8,55.3,4.59,39.44,10.85,12.7,0.63,12.04,0.0,0.014,0.0,0.00128,116.16,155.28,239.9976,239.9976,135.6,239.9976,239.9976,239.9976,239.9976,219.12,69.6,239.9976,46.559999999999995,202.32,239.9976,148.32,239.9976,94.56,38,Lis.,603.00
"tacchino, sovracoscio, senza pelle crudo (meleagris gallopavo)",0.006,0.001,,0.023,0.32,0.00011999999999999999,,0.00268,1.91,0.0,0.0,0.08,0.97,0.84,0.0,0.0,1.31,0.01,0.17,1.09,0.02,0.0,1.28,0.95,0.06,0.18,0.01,0.05,0.7,,,,,0.0,,86.0,74.8,18.5,0.0,0.0,0.0,5.1,1.91,1.31,1.28,0.0,0.0,0.0,0.07100000000000001,0.075,0.0,0.0,859.9914,448.92,859.9914,859.9914,825.6,677.68,859.9914,673.38,825.6,859.9914,184.9,838.5,503.96,825.6,859.9914,544.38,645.86,181.46,100,Trip.,120.00
funghi coltivati prataioli crudi (agaricus campestris),0.006,0.0008,0.1,0.013,0.32,0.00027,0.0075,0.00146,,,,,,,,,,,,,,,,,,,,,,8.999999999999999e-05,0.00013000000000000002,0.004,0.0,0.003,,95.0,90.4,3.7,0.8,0.8,0.0,0.2,,,,2.3,0.11,2.14,0.0,0.005,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,20.00
pollo intero con pelle crudo (gallus gallus),0.005,0.0006,0.16,0.024,0.3,8.999999999999999e-05,0.009,0.00108,3.27,0.0,0.0,0.13,2.19,0.94,0.0,0.0,4.12,0.02,0.58,3.36,0.01,0.0,2.29,1.63,0.14,0.25,0.02,0.07,0.7,8e-05,0.00014000000000000001,0.005,,0.0,,77.0,69.5,19.0,0.0,0.0,0.0,10.6,3.27,4.12,2.29,0.0,0.0,0.0,0.093,0.062,0.0,0.0,769.9923,377.3,769.9923,769.9923,624.47,536.69,769.9923,633.71,749.21,668.36,174.02,651.42,386.54,672.98,769.9923,482.79,535.15,154.0,95,Trip.,171.00
struzzo crudo [tessuto muscolare privato del grasso visibile] (struthio camelus),,,,,,,,,0.28,0.0,0.0,0.0,0.16,0.12,0.0,0.0,0.29,0.0,0.0,0.03,0.26,0.0,0.27,0.15,0.05,0.05,0.01,0.0,1.0,,,,,0.0,,100.0,76.1,20.9,0.0,0.0,0.0,0.9,0.28,0.29,0.27,0.0,0.0,0.0,0.057,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,92.00
bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.067,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
wurstel,0.014,0.0012,0.13,0.011,0.14,8e-05,,0.0016,6.94,0.0,0.0,0.34,4.03,2.35,0.22,0.0,10.81,0.0,0.53,9.83,0.45,0.0,4.43,3.57,0.27,0.59,0.0,0.0,0.6,0.00015,0.0003,0.00272,,0.0,,100.0,58.9,13.7,1.4,0.0,1.3,23.3,6.94,10.81,4.43,0.0,0.0,0.0,0.062,0.793,0.0,0.0,972.0,367.0,859.0,999.99,558.0,595.0,999.99,950.0,999.99,891.0,109.0,730.0,314.0,606.0,999.99,457.0,549.0,98.0,65,Trip.,270.00
anona (annona atemoya),0.017,0.0003,0.021,0.018,0.25,,,,,,,,,,,,,,,,,,,,,,,,,5e-05,8e-05,0.0008,3e-06,0.043000000000000003,,72.0,78.2,1.8,15.8,,,0.2,,,,2.2,,,0.0,0.004,0.0,,26.64,,,,,,,,,0.0,0.0,,2.88,,,,,5.04,0,treonina,68.00
yogurt greco magro bianco,0.15,0.0003,0.13,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,3e-05,0.00035999999999999997,0.0001,0.000121,,,100.0,78.5,10.0,3.0,2.0,0.0,0.1,,,,0.0,0.0,0.0,,0.07100000000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,52.00
olio di colza,0.0,0.0001,0.0,,,,,,6.31,0.0,0.0,0.0,4.05,1.28,0.63,0.0,61.52,0.0,0.2,55.84,4.27,1.21,29.62,20.54,9.08,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0222,100.0,,0.0,0.0,0.0,0.0,99.9,6.31,61.52,29.62,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,899.00
fontina,0.87,0.0003,0.561,0.027,,,,0.00425,14.73,1.87,0.69,2.56,7.31,2.3,0.0,0.0,6.9,0.0,0.77,6.13,0.0,0.0,1.42,0.74,0.68,0.0,0.0,0.0,0.1,1e-05,0.00045000000000000004,0.0002,0.00041999999999999996,0.0,0.00062,100.0,41.1,24.5,0.8,0.8,0.0,26.9,14.73,6.9,1.42,0.0,0.0,0.0,0.082,0.686,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,343.00
"uova di oca, intero",0.052,0.0026,0.2,0.016,0.21,5.9999999999999995e-05,0.036899999999999995,0.00133,3.6,0.0,0.0,0.05,2.85,0.7,0.0,0.0,5.74,0.0,0.39,5.35,0.0,0.0,1.51,0.68,0.55,0.28,0.0,0.0,0.4,0.0001,0.0003,0.0001,0.00033,0.0,,87.0,69.7,13.8,1.0,1.0,0.0,14.4,3.6,5.74,1.51,0.0,0.0,0.0,0.852,0.138,0.0,0.0,869.9913,301.02,720.36,731.67,693.39,869.9913,869.9913,452.4,397.59,594.21,268.83,833.46,542.88,562.89,869.9913,577.68,791.7,245.34,127,lisina,189.00
"porri, cotti [bolliti in acqua distillata senza aggiunta di sale] (allium porrum)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,86.0,2.4,5.9,5.9,0.0,0.1,,,,2.9,0.85,2.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,33.00
"peperoni, gialli crudi (caspicum annuum, cv. grossum)",,,,0.011,,5.9999999999999995e-05,,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,6.8,6.8,0.0,0.2,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,31.00
"fagioli -borlotti in scatola, scolati (phaseolus vulgaris)",0.031,0.0022,0.102,,0.234,0.0002,0.006,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,71.9,6.7,15.9,1.0,13.5,0.5,,,,5.5,0.9,4.58,0.0,0.294,0.0,,458.0,200.0,382.0,767.0,261.0,400.0,999.99,255.0,264.0,280.0,65.0,357.0,70.0,318.0,542.0,256.0,382.0,61.0,81,Solf.,91.00
"soia, yogurt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6e-05,0.0,,100.0,82.4,5.0,3.9,3.9,,4.2,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,72.00
"struzzo, cotto [tessuto muscolare privato del grasso visibile, cotto in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura] (struthio camelus)",,,,,,,,,0.41,0.0,0.0,0.0,0.23,0.18,0.0,0.0,0.42,0.0,0.05,0.37,0.0,0.0,0.45,0.24,0.08,0.09,0.02,0.0,1.1,,,,,0.0,,100.0,71.5,22.2,0.0,0.0,0.0,1.4,0.41,0.42,0.45,0.0,0.0,0.0,0.07200000000000001,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,101.00
"cardi, cotti [bolliti in acqua distillata senza aggiunta di sale] (cynara cardunculus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,56.6,4.5,12.9,11.4,1.5,0.7,,,,1.5,0.28,1.25,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,73.00
pere fresche (pyrus communis),0.011,0.0003,0.015,0.007,0.127,5e-05,0.001,5e-05,0.02,0.0,0.0,0.0,0.01,3.0,,,0.08,,2.0,0.08,1.0,0.0,0.09,0.09,1.0,0.0,0.0,0.0,4.2,1e-05,3e-05,0.0001,2e-06,0.004,0.0005,84.0,87.4,0.3,10.8,10.8,0.0,0.1,0.02,0.08,0.09,3.8,1.29,2.56,0.0,0.002,0.0,0.0,11.76,3.36,5.88,64.67999999999999,8.4,11.76,23.52,9.24,9.24,10.92,3.36,11.76,4.2,9.24,16.8,2.52,8.4,0.0,0,triptofano,41.00
"carote, cotte [in forno a microonde senza aggiunta di acqua e di sale] (daucus carota)",,,,0.013,,0.00017999999999999998,0.001,0.0021000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,100.0,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
cetrioli (cucumis sativus),0.016,0.0003,0.017,0.011,0.14,2.9999999999999997e-05,0.0,0.0002,0.03,0.0,0.0,1.0,0.02,3.0,,,3.0,,0.0,3.0,0.0,0.0,0.05,0.02,0.03,0.0,0.0,0.0,1.5,2e-05,3e-05,0.0006,,0.011,7.000000000000001e-05,77.0,96.5,0.7,1.8,1.8,0.0,0.5,0.03,3.0,0.05,0.8,0.21,0.54,0.0,0.013000000000000001,0.0,,22.330000000000002,7.7,33.88,31.57,14.63,15.4,150.92000000000002,11.55,18.48,18.48,3.08,16.94,4.62,16.17,22.330000000000002,8.47,14.63,3.85,57,solforati,14.00
pagello bocca d'oro (chrysophrys auratus),0.034,0.004,,,0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,20.0,3.0,3.0,0.0,3.0,,,,0.0,0.0,0.0,0.023,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,118.00
barretta al cocco ricoperta di cioccolato,1.101,0.0013,0.14,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,4e-05,0.0001,0.0003,3.9999999999999996e-05,0.0,,100.0,7.6,4.8,58.2,53.7,4.1,26.1,,,,,,,0.01,0.18,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,472.00
parmigiano,1.159,0.0007,0.678,0.043,0.102,0.00083,0.012,0.004,18.54,2.98,1.04,3.4,8.04,3.07,0.0,0.0,8.81,0.0,0.64,8.16,0.0,0.0,0.79,0.38,0.42,0.0,0.0,0.0,0.0,3e-05,0.00037,5e-05,0.00037299999999999996,0.0,0.00068,100.0,30.4,33.5,3.2,,0.0,28.1,18.54,8.81,0.79,0.0,0.0,0.0,0.091,0.6,0.0,0.0,999.99,920.0,810.0,999.99,999.99,999.99,999.99,999.99,700.0,940.0,200.0,999.99,999.99,999.99,999.99,999.99,999.99,320.0,87,Trip.,387.00
cheddar,0.81,0.0005,0.545,0.028,0.12,2.9999999999999997e-05,0.013900000000000001,0.00311,21.09,2.45,0.54,3.33,9.8,4.0,,,9.39,,1.0,7.9,0.0,0.0,0.94,0.57,0.36,0.0,0.0,0.0,0.0,1e-05,0.00045000000000000004,0.0001,0.00041999999999999996,0.0,0.00035999999999999997,100.0,38.5,25.0,0.5,0.5,0.0,31.0,21.09,9.39,0.94,0.0,0.0,0.0,,0.61,0.0,0.0,999.99,874.0,941.0,999.99,886.0,999.99,999.99,999.99,429.0,703.0,125.0,999.99,652.0,999.99,999.99,999.99,999.99,320.0,104,treonina,381.00
"spinaci, cotti [in forno a microonde senza aggiunta di acqua e di sale] (spinacia oleracea)",,,,0.08,,0.00015,0.001,0.0014299999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
orzo decorticato (hordeum vulgare),0.033,0.00277,0.452,,0.133,0.0036,0.00064,0.264,0.48,0.0,6.0,0.01,0.41,0.01,,,0.29,,6.0,0.24,,,1.1,0.99,0.11,,,,2.2,0.00028000000000000003,0.002,0.0046,0.0,0.0006,0.00049,100.0,9.44,12.48,56.18,,,2.3,0.48,0.29,1.1,17.3,,,0.0,0.012,,,465.0,281.0,625.0,779.0,424.0,527.0,999.99,999.99,452.0,486.0,276.0,612.0,240.0,456.0,848.0,358.0,700.0,208.0,0.0,,354.00
fette biscottate integrali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,100.0,6.5,14.2,62.0,,,10.0,,,,5.4,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,379.00
"lupini, ammollati (lupinus albus)",0.045,0.0055,0.1,0.054,0.245,0.00023,0.0026,0.00138,0.34,0.0,2.0,4.0,0.22,0.09,,,1.18,,0.01,1.06,0.07,0.02,0.73,0.59,0.13,,,,2.1,0.0001,1e-05,0.0002,1e-06,0.0011,,76.0,69.0,16.4,7.1,0.5,6.0,2.4,0.34,1.18,0.73,2.8,,,0.0,0.004,0.0,,632.32,336.68,759.9924,759.9924,435.48,611.8,759.9924,482.6,503.88,424.08,145.92000000000002,494.0,83.6,528.2,759.9924,444.6,469.68,95.0,72,triptofano,114.00
groviera,1.123,0.0005,0.685,,0.08,,,,17.64,2.78,0.91,3.37,8.26,2.32,0.0,0.0,9.31,0.0,0.73,8.58,0.0,0.0,1.73,1.3,0.43,0.0,0.0,0.0,0.1,1e-05,0.00045000000000000004,0.0001,0.00039999999999999996,0.0,,100.0,32.1,30.6,1.5,1.5,0.0,29.0,17.64,9.31,1.73,0.0,0.0,0.0,,0.332,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,389.00
funghi coltivati pleurotes crudi (pleurotes ostreatus),,0.0009,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,98.0,88.4,2.2,4.5,4.5,0.0,0.3,,,,0.7,,,0.0,,0.0,,129.35999999999999,49.0,151.9,196.98,113.67999999999999,97.02,355.74,85.26,104.86,190.12,19.6,112.7,31.36,87.22,168.56,84.28,86.24,49.98,95,Solf.,28.00
olive nere (olea europeae l.),0.062,0.0016,0.018,,0.432,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.0001,0.001,1.4999999999999999e-05,,,74.0,68.6,1.6,0.8,0.8,0.0,25.1,,,,3.9,,,0.0,0.054,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,235.00
feta,0.36,0.0002,0.28,,0.095,,,,14.94,3.87,1.15,2.76,5.15,1.48,,,4.62,,0.38,3.97,0.0,0.0,0.59,0.32,0.26,0.0,0.0,0.0,0.0,4e-05,0.00021,0.0002,0.000226,0.0,,100.0,57.1,15.6,1.5,1.5,0.0,20.2,14.94,4.62,0.59,0.0,0.0,0.0,0.068,1.44,0.0,0.0,999.99,397.0,470.0,779.0,637.0,999.99,999.99,999.99,97.0,639.0,83.0,999.99,368.0,803.0,999.99,668.0,675.0,200.0,126,solforati,250.00
"acciuga o alice, fresca (engraulis enchrasicholus)",0.148,0.0028,0.196,0.022,0.278,0.001,,0.004200000000000001,1.3,0.0,0.0,0.14,1.01,0.13,,0.0,0.4,0.0,0.1,0.17,0.01,0.01,0.85,0.01,0.01,,0.27,0.52,0.7,6e-05,0.00026000000000000003,0.014,3.2e-05,0.0,,75.0,76.5,16.8,1.5,1.5,0.0,2.6,1.3,0.4,0.85,0.0,0.0,0.0,0.061,0.10400000000000001,0.0,0.0,749.9925000000001,506.25,568.5,749.9925000000001,544.5,487.5,749.9925000000001,345.0,541.5,689.25,137.25,569.25,261.75,617.25,749.9925000000001,318.75,446.25,131.25,95,Trip.,96.00
"latte di vacca uht, parzialmente scremato",0.12,0.0001,0.094,0.011,,1e-05,0.0016,0.00037,1.0,,,,,,,,0.4,,,,,,0.1,,,,,,,,,,,0.001,4e-05,100.0,89.5,3.2,5.1,5.1,0.0,1.6,1.0,0.4,0.1,0.0,0.0,0.0,0.007,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,46.00
"bovino adulto o vitellone - copertina di sotto, copertina di spalla, sottospalla, collo- [tessuto muscolare privato del grasso visibile] (bos taurus)",0.015,0.0015,0.178,0.018,0.287,5.9999999999999995e-05,,0.005,1.8,0.0,0.0,0.13,0.93,0.65,0.0,0.0,1.85,0.18,0.12,1.26,0.0,0.14,1.27,0.63,0.11,0.19,0.07,0.07,0.7,0.0001,0.00015,0.0047,,0.0,,100.0,72.9,20.3,0.0,0.0,0.0,5.7,1.8,1.85,1.27,0.0,0.0,0.0,,0.053,0.0,0.0,999.99,711.0,999.99,999.99,834.0,800.0,999.99,950.0,999.99,999.99,229.0,956.0,558.0,873.0,999.99,664.0,798.0,185.0,82,Trip.,133.00
"patate, cotte senza buccia [bollite in acqua distillata senza aggiunta di sale] (solanum tuberosum)",0.005,0.0004,0.031,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,8e-05,1e-05,0.0005,,0.006,,100.0,80.1,1.8,16.9,0.4,15.0,0.1,,,,1.3,,,0.0,0.007,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,71.00
fave fresche crude (vicia faba),0.022,0.0017,0.093,0.038,0.2,7.000000000000001e-05,0.0012,0.00058,0.13,0.0,,0.0,0.12,0.01,,,0.01,,0.0,0.01,,,0.31,0.12,0.18,,,,2.2,0.00011,0.00011,0.00127,1.1e-05,0.033,,26.0,83.9,5.2,4.5,2.2,2.1,0.4,0.13,0.01,0.31,5.0,0.52,4.45,0.0,0.017,0.0,,95.16,34.84,120.38000000000001,164.06,54.08,63.96,222.3,65.52,59.800000000000004,59.28,20.02,71.24000000000001,11.18,65.26,112.32000000000001,50.96,59.28,14.56,85,solforati,41.00
filetti di sgombro sott'olio sgocciolati (scomber scombrus),,,,,,,,,3.5,,,,,,,,4.5,,,,,,3.0,,,,,,,,,,,,,100.0,0.0,25.0,0.0,0.0,0.0,12.0,3.5,4.5,3.0,0.0,0.0,0.0,0.095,0.13,0.0,0.0,,,,,,,,,,,,,,,,,,,,,190.00
crostata con marmellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,100.0,20.9,4.9,65.5,,,8.2,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,339.00
"fichi, canditi (ficus carica)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,21.0,3.5,73.7,73.7,0.0,0.2,,,,1.1,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,292.00
arance (citrus aurantium),0.049,0.0002,0.022,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,5e-05,0.0002,7.099999999999999e-05,0.05,,80.0,87.2,0.7,11.0,7.8,0.0,0.2,,,,1.6,0.6,1.0,0.0,0.003,0.0,0.0,34.4,9.600000000000001,41.6,91.2,9.600000000000001,18.400000000000002,79.2,36.0,66.4,40.800000000000004,8.0,24.8,9.600000000000001,18.400000000000002,17.6,13.600000000000001,24.0,4.800000000000001,48,Leu.,47.00
"fegato di pollo, cotto (gallus gallus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.746,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"zampone, confezionato",0.022,0.0015,0.17,0.008,0.104,0.0001,,0.0022,7.0,,,,,,,,12.0,,,,,,5.0,,,,,,,0.00026000000000000003,0.00021,0.003,,0.0,,100.0,45.5,19.1,0.0,0.0,0.0,31.6,7.0,12.0,5.0,0.0,0.0,0.0,0.07,0.762,0.0,0.0,,,,,,,,,,,,,,,,,,,,,361.00
storione (acipenser spp.),0.018,0.0005,0.239,0.035,0.33,4e-05,0.0126,0.00041999999999999996,1.78,0.0,0.0,0.25,1.36,0.14,0.0,0.0,3.16,0.01,0.49,1.96,0.45,0.24,1.54,0.21,0.06,0.05,0.39,0.63,0.9,7.000000000000001e-05,7.000000000000001e-05,0.0056,0.00020999999999999998,0.0,0.0005,,72.5,19.2,0.0,0.0,0.0,7.6,1.78,3.16,1.54,0.0,0.0,0.0,0.066,0.044,0.0,0.0,,,,,,,,,,,,,,,,,,,66,Trip.,145.00
